Year,PoliticalParty,Category,Number,Plan
2015,PP Madrid,Una educación a la vanguardia,170,"Desarrollaremos un plan de impulso de las nuevas tecnologías en el aula, en perfecta coordinación entre las diferentes administraciones. Avanzaremos en la adaptación de las nuevas tecnologías de los centros educativos, en la mejora de su conectividad e implantaremos la mochila digital."
2015,PP Madrid,Una educación a la vanguardia,171,"Garantizaremos que los padres, primeros responsables de la educación de sus hijos, puedan elegir el centro de su preferencia, sea este público o concertado. Garantizaremos el derecho al concierto."
2015,PP Madrid,Una educación a la vanguardia,172,"Garantizaremos el derecho de las familias a que sus hijos estudien en castellano en toda España. En aquellas comunidades con lengua cooficial garantizaremos un bilingüismo integrador, al tiempo que fomentaremos el trilingüismo."
2015,PP Madrid,Una educación a la vanguardia,173,Promoveremos el conocimiento de una primera lengua extranjera desde el segundo ciclo de educación infantil. Estableceremos criterios comunes de acreditación de los centros bilingües.
2015,PP Madrid,Una educación a la vanguardia,174,Fomentaremos la cultura del esfuerzo y el reconocimiento del mérito entre los alumnos. Pondremos en marcha evaluaciones que permitan identificar las necesidades de mejora de los estudiantes y orientarles en la trayectoria que mejor se adapte a sus habilidades y competencias.
2015,PP Madrid,Una educación a la vanguardia,175,"Apoyaremos a los centros educativos que ofrezcan una educación inclusiva de calidad, dirigida a los alumnos con discapacidad."
2015,PP Madrid,Una educación a la vanguardia,176,"Promoveremos que los profesores y equipos directivos reciban una formación específica en prevención de violencia de género, trastornos alimentarios y acoso escolar."
2015,PP Madrid,Una educación a la vanguardia,177,"Impulsaremos acuerdos con asociaciones de padres sobre becas, ayudas al estudio, validez de los libros de texto, libro electrónico, bancos de libros, entre otros. Igualmente fomentaremos el diálogo sobre horarios, periodos vacacionales, alimentación y transporte escolar."
2015,PP Madrid,Una educación a la vanguardia,178,"Facilitaremos la inclusión educativa, la alfabetización de adultos y la integración laboral de las personas en riesgo de exclusión social, con una atención específica a las minorías étnicas y a la realidad gitana."
2015,PP Madrid,Universidades para la excelencia,179,Fomentaremos la internacionalización de las universidades así como el intercambio entre profesores y alumnos.
2015,PP Madrid,Universidades para la excelencia,180,Incrementaremos la tasa de reposición del profesorado para dar respuesta a las necesidades académicas y profesionales de alumnos y profesores.
2015,PP Madrid,Universidades para la excelencia,181,Homologaremos nuestras titulaciones al Espacio Europeo de Educación Superior. Adecuaremos su estructura a los criterios más generalizados en nuestro entorno.
2015,PP Madrid,Universidades para la excelencia,182,"Continuaremos fomentando una adecuada política de becas que garantice la igualdad de oportunidades en el acceso a las enseñanzas universitarias y a la elección de carrera, con arreglo a los principios de mérito y capacidad."
2015,PP Madrid,Universidades para la excelencia,183,"Potenciaremos los estudios de grado y postgrado en inglés con el fin de que nuestros graduados tengan mayores oportunidades de competir en un mundo abierto, de cara a una internacionalización de la Universidad."
2015,PP Madrid,Universidades para la excelencia,184,"Promoveremos que los sistemas de gobernanza en las universidades se basen en una gestión sostenible, más profesional, objetiva y transparente, mejorando la participación de los consejos sociales en los objetivos de las universidades."
2015,PP Madrid,Universidades para la excelencia,185,Potenciaremos los servicios integrales de orientación que permitan mejorar la empleabilidad y reducir las tasas actuales de abandono universitario.
2015,PP Madrid,Universidades para la excelencia,186,Impulsaremos medidas que favorezcan el emprendimiento de titulados universitarios.
2015,PP Madrid,Universidades para la excelencia,187,Impulsaremos medidas de mecenazgo en el ámbito autonómico que incentiven a particulares y empresas a promover la financiación de actividades científicas y de investigación.
2015,PP Madrid,Una sanidad de calidad y con futuro,188,"Continuaremos impulsando una sanidad centrada en la promoción de la salud y la prevención de la enfermedad, capaz de ofrecer una asistencia humanizada y personalizada."
2015,PP Madrid,Una sanidad de calidad y con futuro,189,"Reforzaremos las garantías de acceso a prestaciones y servicios en condiciones de calidad, de equidad y de igualdad de trato en todo el territorio nacional. Facilitaremos, en igualdad de condiciones, la movilidad geográfica de los pacientes dentro del Sistema Nacional de Salud."
2015,PP Madrid,Una sanidad de calidad y con futuro,190,Garantizaremos la aplicación efectiva del catálogo básico de prestaciones en todas las comunidades autónomas.
2015,PP Madrid,Una sanidad de calidad y con futuro,191,"Desarrollaremos programas para favorecer la atención continuada e integral, contando para ello con las aportaciones y las propuestas realizadas por los profesionales."
2015,PP Madrid,Una sanidad de calidad y con futuro,192,"Promoveremos un mayor reconocimiento social de los profesionales sanitarios, favoreceremos su movilidad y su desarrollo profesional. Aumentaremos la protección del personal sanitario frente a la violencia."
2015,PP Madrid,Una sanidad de calidad y con futuro,193,Implicaremos a los profesionales sanitarios en las decisiones que se adopten para garantizar que la experiencia y el conocimiento científico sean el eje fundamental de nuestra política sanitaria.
2015,PP Madrid,Una sanidad de calidad y con futuro,194,"Seguiremos dando prioridad al uso eficiente de los recursos sanitarios disponibles, con transparencia en la gestión y una evaluación continuada de cada proceso asistencial."
2015,PP Madrid,Una sanidad de calidad y con futuro,195,"Seguiremos promoviendo los medios y mecanismos necesarios para agilizar los tiempos de respuesta para intervenciones quirúrgicas y pruebas diagnósticas, que permita reducir las listas de espera."
2015,PP Madrid,Una sanidad de calidad y con futuro,196,"Concluiremos el desarrollo y puesta en marcha de la sanidad electrónica para que todos los ciudadanos tengan acceso a la receta, la historia clínica y la tarjeta individual interoperables en todo el Sistema Nacional de Salud, evitando la duplicidad en la realización de pruebas diagnósticas."
2015,PP Madrid,Una sanidad de calidad y con futuro,197,"Agilizaremos la incorporación al sistema sanitario, así como su uso por parte de profesionales y pacientes, de nuevos avances terapéuticos, de la telemedicina y de las nuevas tecnologías de la información."
2015,PP Madrid,Una sanidad de calidad y con futuro,198,"Continuaremos impulsando la investigación, el desarrollo y la innovación biomédicos desde la coordinación continuada con la universidad y la iniciativa privada. Crearemos estructuras que permitan una mejor gestión y puesta en valor de la actividad investigadora y de los resultados de la investigación."
2015,PP Madrid,Una sanidad de calidad y con futuro,199,"Desarrollaremos un modelo de protección, valorización y transferencia de resultados de investigación e innovación. Agilizaremos la aplicación de los resultados de investigación y conocimiento en beneficio del paciente."
2015,PP Madrid,Una sanidad de calidad y con futuro,200,Desarrollaremos y pondremos en marcha nuevos planes de mejora de la detección y el tratamiento precoz de enfermedades de los recién nacidos.
2015,PP Madrid,Una sanidad de calidad y con futuro,201,"Desarrollaremos la plena implantación de estrategias de salud, poniendo especial énfasis en la atención a patologías prevalentes como las cardiológicas, oncológicas, neurológicas o diabetes, entre otras. Reforzaremos los programas de atención a salud mental y a enfermedades raras, dada su importancia creciente en el orden sanitario y social."
2015,PP Madrid,Una sanidad de calidad y con futuro,202,Apostaremos por la telemedicina dentro de la estrategia para la atención de pacientes crónicos. Impulsaremos programas de seguimiento y personalización de los mayores polimedicados.
2015,PP Madrid,Una sanidad de calidad y con futuro,203,Impulsaremos el avance en el diagnóstico y en el tratamiento de las enfermedades con técnicas cada vez menos invasivas y más seguras para los pacientes.
2015,PP Madrid,Una sanidad de calidad y con futuro,204,"Seguiremos profundizando en la implantación de las centrales de compras, la licitación electrónica y una mayor eficiencia en la gestión, con el objetivo de disminuir el gasto, mediante economías de escala."
2015,PP Madrid,Una sanidad de calidad y con futuro,205,Promoveremos el uso racional de los medicamentos y la adherencia a los tratamientos. Adoptaremos medidas que permitan el acceso a las innovaciones en condiciones de equidad en todo el territorio nacional.
2015,PP Madrid,Una sanidad de calidad y con futuro,206,"Fortaleceremos la cohesión territorial y la cooperación entre comunidades autónomas, impulsando el papel del Consejo Interterritorial de Sistema Nacional de Salud y de sus comisiones."
2015,PP Madrid,Una sanidad de calidad y con futuro,207,"Impulsaremos las actuaciones de la Red de Agencias de Evaluación de Tecnologías y Prestaciones Sanitarias desde la cooperación y la transparencia, al mejor servicio a los pacientes."
2015,PP Madrid,Una sanidad de calidad y con futuro,208,"Daremos un impulso a la coordinación sociosanitaria, garantizando la continuidad asistencial. Evitaremos duplicidades y promoveremos la gestión de casos a través de equipos multidisciplinares y de la implantación de un código de identificación único, válido para la Sanidad y para los Servicios Sociales."
2015,PP Madrid,Una sanidad de calidad y con futuro,209,"Mejoraremos la asistencia prestada a los pacientes mayores, crónicos y pluripatológicos, desde la plena coordinación entre los servicios sanitarios y sociales, reordenando los recursos asistenciales y creando mapas de recursos sociosanitarios."
2015,PP Madrid,Fortaleciendo los servicios sociales y la dependencia,210,"Aprobaremos planes autonómicos de inclusión social en el marco del Plan Nacional de Inclusión Social, para orientar y mejorar las acciones de la política social."
2015,PP Madrid,Fortaleciendo los servicios sociales y la dependencia,211,"Promoveremos la coordinación de las comunidades autónomas para hacer frente a la pobreza y a la exclusión social, mejorando la colaboración en áreas como el empleo, la protección por desempleo, la vivienda, la educación y formación profesional, la sanidad, la violencia de género, la discapacidad, infancia y familia, personas mayores y juventud, entre otras."
2015,PP Madrid,Fortaleciendo los servicios sociales y la dependencia,212,Promoveremos el establecimiento de criterios autonómicos comunes para evaluar situaciones de pobreza y de exclusión social y para el acceso a las rentas mínimas de inserción.
2015,PP Madrid,Fortaleciendo los servicios sociales y la dependencia,213,Apoyaremos la elaboración de un mapa estatal de servicios sociales para conocer mejor los recursos disponibles en este ámbito.
2015,PP Madrid,Fortaleciendo los servicios sociales y la dependencia,214,Crearemos un sistema unificado de información a los ciudadanos sobre servicios sociales para facilitar un mejor conocimiento y el acceso a ellos y que permita el trabajo en red entre las distintas administraciones.
2015,PP Madrid,Fortaleciendo los servicios sociales y la dependencia,215,Promoveremos la elaboración de informes sobre territorios en riesgo de declive socioeconómico para prevenir situaciones de marginación social.
2015,PP Madrid,Fortaleciendo los servicios sociales y la dependencia,216,Impulsaremos el debate sobre una futura Ley General de Servicios Sociales que garantice la igualdad de trato en toda España.
2015,PP Madrid,Fortaleciendo los servicios sociales y la dependencia,217,"Fomentaremos la colaboración con el tercer sector y, en línea con la normativa comunitaria, los conciertos de acción social."
2015,PP Madrid,Fortaleciendo los servicios sociales y la dependencia,218,"Impulsaremos la simplificación de la normativa aplicable a la protección por dependencia, que ahora supera las 600 disposiciones, para agilizar la tramitación de estas prestaciones y continuar reduciendo el tiempo de espera."
2015,PP Madrid,Fortaleciendo los servicios sociales y la dependencia,219,Haremos más transparente y homogénea la información autonómica sobre protección por dependencia.
2015,PP Madrid,Fortaleciendo los servicios sociales y la dependencia,220,"Potenciaremos la concertación entre comunidad autónoma y ayuntamientos para la prestación de servicios sociales, en el marco de la Ley de Racionalización y sostenibilidad de la Administración Local."
2015,PP Madrid,Fortaleciendo los servicios sociales y la dependencia,221,Promoveremos un verdadero modelo de coordinación sociosanitaria sobre la base del acuerdo con las comunidades autónomas y la participación de los agentes sociales y profesionales del sector y de las asociaciones de mayores y de personas con discapacidad y sus familias.
2015,PP Madrid,Fortaleciendo los servicios sociales y la dependencia,222,Impulsaremos la creación de un código de identificación único sociosanitario para facilitar una atención integral y continuada de las personas dependientes.
2015,PP Madrid,Fortaleciendo los servicios sociales y la dependencia,223,Apoyaremos la atención domiciliaria para personas mayores dependientes. Adecuaremos la atención sociosanitaria a las necesidades del ámbito rural.
2015,PP Madrid,Personas autónomas y capaces,224,Garantizaremos que en las políticas activas de empleo se aplique el factor discapacidad manteniendo los avances normativos en vigor y garantizando criterios comunes entre las comunidades autónomas.
2015,PP Madrid,Personas autónomas y capaces,225,"Impulsaremos la coordinación y la información de los recursos cuya aplicación repercute en actividades inclusivas, particularmente entre los servicios sociales y los servicios sanitarios."
2015,PP Madrid,Personas autónomas y capaces,226,"Impulsaremos actividades e iniciativas que contribuyan a la difusión de información relacionada con la discapacidad como el proyecto Guía de Recursos de Atención a la Discapacidad (GRADis), que ofrece un compendio de los servicios disponibles para las personas con discapacidad en todas las comunidades autónomas."
2015,PP Madrid,Personas autónomas y capaces,227,"Impulsaremos la efectividad de los derechos reconocidos a las personas con discapacidad por la Convención Internacional de Naciones Unidas, así como la sensibilización y difusión a la sociedad."
2015,PP Madrid,Personas autónomas y capaces,228,"Velaremos por el cumplimiento del Real Decreto Legislativo 1/2013, de 29 de noviembre, por el que se aprueba el Texto Refundido de la Ley General de derechos de las personas con discapacidad y de su inclusión social, así como de las leyes autonómicas y ordenanzas municipales que desarrollen derechos de las personas con discapacidad. Propondremos la elaboración de un informe autonómico anual para evaluar los avances que se produzcan."
2015,PP Madrid,Personas autónomas y capaces,229,"Impulsaremos la aplicación de las normas sobre accesibilidad en los espacios públicos, con especial atención a la accesibilidad de los transportes públicos."
2015,PP Madrid,Personas autónomas y capaces,230,Adoptaremos medidas para garantizar la accesibilidad y la eliminación de barreras arquitectónicas en los edificios y espacios urbanos.
2015,PP Madrid,Personas autónomas y capaces,231,"Garantizaremos que los sistemas de información al ciudadano, así como de realización de trámites con las administraciones autonómicas, se implanten siguiendo criterios de accesibilidad universal y diseño para todos, incluyendo las páginas web y los servicios disponibles a través de ellas."
2015,PP Madrid,Personas autónomas y capaces,232,"Reduciremos la brecha digital y tecnológica de la discapacidad, apoyando la accesibilidad y usabilidad de Internet, de las redes sociales, las aplicaciones diseñadas para ser utilizadas por terminales móviles y los dispositivos tecnológicos, como estrategia fundamental para reducir el riesgo de exclusión."
2015,PP Madrid,Personas autónomas y capaces,233,"Favoreceremos el mantenimiento de empleo de personas con discapacidad sobrevenida en el ámbito de las Administraciones, mediante medidas de movilidad entre puestos, adaptación de los mismos y conciliación de la vida personal y profesional."
2015,PP Madrid,Personas autónomas y capaces,234,Impulsaremos la accesibilidad digital de las aulas para proporcionar al alumnado con discapacidad material y equipos accesibles.
2015,PP Madrid,Personas autónomas y capaces,235,"Adoptaremos nuevas medidas para garantizar el derecho a la atención temprana a los niños con cualquier tipo de discapacidad y sus familias, desde un enfoque preventivo."
2015,PP Madrid,Personas autónomas y capaces,236,"Desarrollaremos desde el ámbito autonómico los procesos de organización y gestión de los recursos dedicados a la prevención, la detección precoz, el diagnóstico y la atención de todas las situaciones de discapacidad, trastornos del desarrollo o situaciones de riesgo en la población infantil de 0 a 6 años de edad."
2015,PP Madrid,Personas autónomas y capaces,237,Promoveremos la adaptación de las salas teatrales y cinematográficas para que puedan ofrecer funciones con audiodescripción.
2015,PP Madrid,Personas autónomas y capaces,238,"Fomentaremos la práctica deportiva adaptada en las instalaciones públicas. Potenciaremos la inclusión del deporte de las personas con discapacidad en las diferentes Federaciones Autonómicas de Deportes, tanto en las competiciones ordinarias como en las específicas."
2015,PP Madrid,Personas autónomas y capaces,239,"Impulsaremos la posibilidad de incluir como familias numerosas de carácter especial a las familias con hijos, en las cuales haya dos o más miembros con discapacidad superior al sesenta y cinco por ciento y al menos dos hijos."
2015,PP Madrid,Personas autónomas y capaces,240,Fomentaremos el conocimiento de la discapacidad y de las capacidades diversas de las personas con discapacidad como instrumento para erradicar los estereotipos negativos y su discriminación y estigmatización.
2015,PP Madrid,Iguales en derechos y oportunidades,241,Fomentaremos la inserción laboral de mujeres en zonas con altos índices de paro femenino.
2015,PP Madrid,Iguales en derechos y oportunidades,242,Impulsaremos la realización de planes personalizados de apoyo y acompañamiento integral para colectivos de mujeres en situación de vulnerabilidad y para mujeres del medio rural que permitan una actuación conjunta y efectiva.
2015,PP Madrid,Iguales en derechos y oportunidades,243,Desarrollaremos iniciativas piloto de educación en igualdad entre niños y niñas para la promoción de la igualdad real y efectiva de oportunidades.
2015,PP Madrid,Iguales en derechos y oportunidades,244,"Impulsaremos programas de información, formación y prevención de la violencia sexual en jóvenes y adolescentes en centros escolares y programas de formación al profesorado en educación para la igualdad y la no discriminación y prevención de la violencia de género."
2015,PP Madrid,Iguales en derechos y oportunidades,245,"Crearemos un sistema de información sobre la maternidad que contenga todas las ayudas estatales, autonómicas y locales de apoyo a la maternidad con información sobre recursos tanto públicos como privados, y que difunda información sobre el valor social de la maternidad y la corresponsabilidad de los padres."
2015,PP Madrid,Iguales en derechos y oportunidades,246,"Impulsaremos la colaboración y coordinación entre las instituciones con competencias deportivas para favorecer el incremento de la participación de las mujeres en el ámbito de la actividad física y el deporte a todos los niveles, especialmente para favorecer su incorporación a los órganos directivos de las organizaciones deportivas."
2015,PP Madrid,Iguales en derechos y oportunidades,247,Desarrollaremos programas de formación en materia de alfabetización digital y empoderamiento de las mujeres rurales.
2015,PP Madrid,Iguales en derechos y oportunidades,248,Elaboraremos un mapa de recursos con la información de los servicios ofrecidos por las administraciones públicas relacionados con la promoción de la igualdad de trato y la lucha contra todo tipo de discriminación y difundiremos buenas prácticas en el ámbito de la gestión de la diversidad y promoción de la igualdad de trato y no discriminación.
2015,PP Madrid,Iguales en derechos y oportunidades,249,Impulsaremos medidas de apoyo y protección a la maternidad a través del desarrollo de las redes de atención y acompañamiento a la mujer durante el embarazo y primera infancia.
2015,PP Madrid,Iguales en derechos y oportunidades,250,"Velaremos para que ninguna mujer sea objeto de discriminación laboral o salarial por motivo de su embarazo o maternidad o por una razón de género, prestando atención a las mujeres que quieran reincorporarse al mercado laboral tras su ausencia para el cuidado de hijos."
2015,PP Madrid,Iguales en derechos y oportunidades,251,"Haremos efectivo el derecho a la conciliación de la vida profesional, personal y familiar de los empleados públicos, a través de la implantación de un modelo de horario flexible y racional en nuestras administraciones. Y promoveremos estas medidas en el ámbito privado."
2015,PP Madrid,Iguales en derechos y oportunidades,252,Incentivaremos a las empresas que pongan en marcha una política activa de conciliación entre sus trabajadores. Impulsaremos el reparto equilibrado de responsabilidades. Estudiaremos la implantación de medidas como una bolsa de horas para enfermedades leves de hijos menores.
2015,PP Madrid,Iguales en derechos y oportunidades,253,"Seguiremos trabajando para mejorar la colaboración y coordinación entre comunidades autónomas y entidades locales, en la lucha contra la violencia de género con el objeto de agilizar trámites administrativos, optimizar recursos y disminuir riesgos."
2015,PP Madrid,Iguales en derechos y oportunidades,254,Seguiremos fomentando programas de inserción socio- laboral dirigidos a víctimas de violencia de género.
2015,PP Madrid,Iguales en derechos y oportunidades,255,"Fomentaremos el teletrabajo siempre que sea posible, mediante la difusión de modelos eficaces y sostenibles en el tiempo que repercutan positivamente en el empleo y en la competitividad de las empresas."
2015,PP Madrid,Combatiendo la lacra de la violencia de género,256,Reforzaremos la prevención mediante campañas de sensibilización innovadoras que utilicen nuevas técnicas virales y nuevas tecnologías que promuevan la participación activa de profesionales y toda la sociedad en la ruptura del silencio frente a la violencia contra las mujeres.
2015,PP Madrid,Combatiendo la lacra de la violencia de género,257,Actuaremos desde las edades más tempranas a través de acciones de formación y sensibilización dirigidas a menores de edad y jóvenes en edad escolar que fomenten el uso responsable de las tecnologías de la información y la comunicación y prevengan su utilización como herramientas de acoso o promoción de conductas violentas.
2015,PP Madrid,Combatiendo la lacra de la violencia de género,258,Consolidaremos la ampliación del acceso de las comunidades autónomas al Sistema de Seguimiento Integral en los casos de Violencia de Género.
2015,PP Madrid,Combatiendo la lacra de la violencia de género,259,Perfeccionaremos los mecanismos de derivación de las víctimas desde los servicios sanitarios a las redes de recursos de asistencia integral.
2015,PP Madrid,Combatiendo la lacra de la violencia de género,260,Perfeccionaremos los mapas de recursos para víctimas de violencia de género con la información aportada por las comunidades autónomas con actualización periódica.
2015,PP Madrid,Combatiendo la lacra de la violencia de género,261,Consolidaremos el trabajo realizado desde el Gobierno de la Nación para reforzar las redes de centros de acogida y la movilidad de las víctimas entre las distintas comunidades autónomas.
2015,PP Madrid,Combatiendo la lacra de la violencia de género,262,"Impulsaremos unas pautas comunes para la intervención individualizada, integral y multidisciplinar en mujeres que sufren violencia de género, así como la figura del profesional de referencia."
2015,PP Madrid,Combatiendo la lacra de la violencia de género,263,Perfeccionaremos los protocolos de coordinación inter- institucionales contemplando la situación específica de los menores.
2015,PP Madrid,Combatiendo la lacra de la violencia de género,264,Avanzaremos ante la ventanilla única en materia de violencia de género e impulsaremos a escala autonómica sistemas de información compartidos para la atención personalizada de las situaciones de violencia de género.
2015,PP Madrid,Combatiendo la lacra de la violencia de género,265,"Alcanzaremos un gran acuerdo social para la erradicación de la violencia contra las mujeres en el que participen el Gobierno de la Nación, las comunidades autónomas y también las entidades locales, así como los agentes políticos, económicos y sociales."
2015,PP Madrid,Combatiendo la lacra de la violencia de género,266,Acordaremos en el seno del Consejo Territorial de Asuntos Sociales y Dependencia un catálogo y un protocolo común de referencia para los servicios de atención en caso de violencia familiar.
2015,PP Madrid,Combatiendo la lacra de la violencia de género,267,"Culminaremos la interconexión mediante servicio web con otros sistemas policiales receptores de denuncias (SIDENPOL del Cuerpo Nacional de Policía, SIGO de Guardia Civil) para recibir, de forma totalmente automatizada y en tiempo real, las denuncias de violencia doméstica y de género que se vayan recogiendo por los diferentes cuerpos policiales."
2015,PP Madrid,Combatiendo la lacra de la violencia de género,268,Integraremos el Sistema VioGén con las unidades de valoración forense integral de los institutos de medicina legal del Ministerio de Justicia y las comunidades autónomas.
2015,PP Madrid,Por una sociedad libre y segura,269,Garantizaremos que los ciudadanos puedan ejercer sus derechos a salvo de los comportamientos incívicos que deterioran la convivencia. En especial se impulsarán planes locales para luchar contra los grupos radicales de extrema derecha y extrema izquierda.
2015,PP Madrid,Por una sociedad libre y segura,270,Impulsaremos la coordinación y colaboración entre las policías locales y las fuerzas y cuerpos de seguridad del Estado con la finalidad de abordar la criminalidad de forma más eficaz.
2015,PP Madrid,Por una sociedad libre y segura,271,"Mejoraremos los planes específicos de seguridad para los centros educativos con la inclusión de medidas que formen a los menores en los buenos usos de internet y la cibercriminalidad, fomentando una cultura de ciberurbanidad, especialmente entre los menores, con el objetivo de proteger y asegurar su identidad digital."
2015,PP Madrid,Por una sociedad libre y segura,272,"Impulsaremos las medidas que sean necesarias para erradicar los delitos de odio y que ningún ciudadano pueda verse discriminado por razón de nacionalidad, origen racial o étnico, sexo, religión, edad, discapacidad, orientación o identidad sexual, opinión o cualquier otra condición o circunstancia personal o social."
2015,PP Madrid,Por una sociedad libre y segura,273,"Mejoraremos la coordinación entre las comunidades autónomas y la Administración General del Estado, con el establecimiento de un plan de acción que homogenice las ayudas e indemnizaciones y prestaciones a las víctimas del terrorismo en todo el territorio."
2015,PP Madrid,Por una sociedad libre y segura,274,"Seguiremos trabajando por la memoria, el recuerdo y el homenaje a las Víctimas del Terrorismo, y por fomentar un relato de la verdad de lo ocurrido durante tantos años de terrorismo. Preservaremos la memoria de las víctimas, difundiendo valores democráticos de paz y convivencia y desarrollando, además, contenidos en valores frente al terrorismo y el testimonio de las víctimas en los programas educativos."
2015,PP Madrid,Expandir la cultura y proteger el patrimonio,275,"Daremos un impulso renovado a la política cultural, integrándola en una acción transversal que implique su dimensión educativa, industrial y exterior."
2015,PP Madrid,Expandir la cultura y proteger el patrimonio,276,Aseguraremos la protección de la cultura mediante el desarrollo y puesta en marcha de planes de protección del patrimonio. Garantizaremos el respeto y la protección de todos aquellos intangibles dignos de ser preservados mediante la protección de los bienes inmateriales.
2015,PP Madrid,Expandir la cultura y proteger el patrimonio,277,"Impulsaremos la rehabilitación y recuperación del patrimonio histórico-artístico y cultural, especialmente en los municipios más pequeños, mediante programas de ayudas públicas."
2015,PP Madrid,Expandir la cultura y proteger el patrimonio,278,"Promoveremos una mayor coordinación y colaboración entre todas las administraciones y a todos los niveles, y también con la sociedad civil y el sector privado, para maximizar el potencial de nuestra herencia cultural común, como agente de desarrollo socioeconómico."
2015,PP Madrid,Expandir la cultura y proteger el patrimonio,279,"Propondremos una estrategia común de optimización de los recursos culturales, priorizando las necesidades de conservación y mantenimiento del patrimonio cultural, histórico y natural de la Unión Europea."
2015,PP Madrid,Expandir la cultura y proteger el patrimonio,280,"Defenderemos una cultura abierta, en la que el papel de la Administración se centre en la remoción de obstáculos y en la garantía de la libertad de acceso y divulgación."
2015,PP Madrid,Expandir la cultura y proteger el patrimonio,281,Apoyaremos a las fundaciones y empresas privadas asociadas al campo de la gestión cultural. Impulsaremos la revisión impositiva de la cultura para converger con los países de nuestro entorno.
2015,PP Madrid,Expandir la cultura y proteger el patrimonio,282,Reduciremos las trabas a la creación de empresas culturales. protegiéndola al mismo tiempo del intrusismo y de la competencia desleal que representa la economía sumergida. Fomentaremos la formación de sus gestores.
2015,PP Madrid,Expandir la cultura y proteger el patrimonio,283,"Impulsaremos la elaboración de un plan nacional de industrias culturales para impulsar las actividades económicas vinculadas a la actividad cultural. Promoveremos una revisión impositiva de la cultura que nos acerque a los países de nuestro entorno, favoreciendo con ello el talento local y nuestra capacidad para competir en los mercados nacionales e internacionales."
2015,PP Madrid,Expandir la cultura y proteger el patrimonio,284,"Promoveremos la aparición de instalaciones culturales donde se consideren prioritarias para garantizar el acceso a la cultura de todos los ciudadanos. Potenciaremos las oportunidades económicas y estratégicas asociadas al patrimonio cultural, especialmente en el medio rural. Facilitaremos la colaboración público-privada en la gestión de las infraestructuras culturales."
2015,PP Madrid,Expandir la cultura y proteger el patrimonio,285,Desarrollaremos estrategias de sostenibilidad de las políticas de inversión cultural a medio y largo plazo para evitar que en el futuro se vean afectadas por contextos económicos complejos.
2015,PP Madrid,Una juventud preparada,286,"Colaboraremos desde las comunidades autónomas en el desarrollo e implantación del Sistema Nacional de Garantía Juvenil, con el objetivo de facilitar a los jóvenes inscritos en el sistema una oferta de empleo, de prácticas o de formación en el plazo establecido en la recomendación de la Unión Europea."
2015,PP Madrid,Una juventud preparada,287,"Impulsaremos, dentro del marco del Sistema Nacional de Garantía Juvenil, medidas tendentes a acelerar la transición de la educación y la formación al empleo y del desempleo al empleo, aprovechando como palanca de financiación la procedente con carácter anual del Ministerio de Empleo y Seguridad Social y la propia del Fondo Social Europeo y de la Iniciativa de Empleo Juvenil Europea, en el marco presupuestario vigente."
2015,PP Madrid,Una juventud preparada,288,Pondremos en marcha programas de segunda oportunidad que den respuesta a todos aquellos jóvenes que abandonaron sus estudios de forma prematura para trabajar en sectores donde se demandaban trabajadores poco cualificados y que hoy se encuentran sin trabajo y sin formación.
2015,PP Madrid,Una juventud preparada,289,"Propondremos nuevas ayudas a jóvenes al inicio de una actividad por cuenta propia, equivalentes en todas las comunidades autónomas, que ayude a cubrir los primeros gastos inherentes al establecimiento de una actividad."
2015,PP Madrid,Una juventud preparada,290,"Reforzaremos las medidas que permitan aumentar la empleabilidad de los jóvenes, impulsando el sistema de formación no formal e identificando y fomentando nuevos nichos y yacimientos generadores de empleo. Prestaremos especial atención al sector de la economía digital y de las TIC."
2015,PP Madrid,Una juventud preparada,291,"Pondremos en marcha nuevos programas que permitan incrementar el número de jóvenes que se establecen como autónomos, así como la creación de empresas por jóvenes menores de treinta años."
2015,PP Madrid,Una juventud preparada,292,Potenciaremos nuevos programas de microcréditos para jóvenes emprendedores y desarrollaremos programas específicos dirigidos a mujeres emprendedoras.
2015,PP Madrid,Una juventud preparada,293,Seguiremos reforzando la lucha contra la violencia de género en la adolescencia a través de nuevas medidas de prevención y sensibilización en la línea marcada por el Gobierno de la Nación en la campaña “Hay Salida”.
2015,PP Madrid,Una juventud preparada,294,"Consolidaremos los canales y herramientas de participación y voluntariado de los jóvenes asociados y no asociados, especialmente vinculados a las tecnologías de la información y la comunicación."
2015,PP Madrid,Una juventud preparada,295,"Incrementaremos la lucha contra la exclusión social de los sectores más desfavorecidos de la población juvenil, trabajaremos en medidas que impulsen la igualdad entre hombres y mujeres y promocionaremos la independencia y la autonomía de las personas con discapacidad."
2015,PP Madrid,Una juventud preparada,296,"Reforzaremos la colaboración y la coordinación entre administraciones públicas, organismos nacionales e internacionales y entidades juveniles."
2015,PP Madrid,Una juventud preparada,297,"Impulsaremos la red de centros de información juvenil entre el Instituto de la Juventud de España, las comunidades autónomas y la Federación Española de Municipios y Provincias, especialmente en redes sociales y portales web."
2015,PP Madrid,Una juventud preparada,298,"Promoveremos becas y convenios para que los alumnos con mejores expedientes de las universidades puedan iniciar su primera experiencia laboral en España, desarrollando su talento aquí."
2015,PP Madrid,Una juventud preparada,299,Promoveremos una reducción de impuestos a los jóvenes en caso de creación de nuevas empresas durante los dos primeros años.
